Name,ShortName,Path
Arizona Diamondbacks,AD,..\Assets\Arizona_Diamond_Backs.png,
Atlanta Braves,AB,..\Assets\Atlanta_Braves.png,
Baltimore Orioles,BO,..\Assets\Baltimore_orioles.png,
Boston Red Sox,BRS,..\Assets\Boston_Red_Sox.png,
Chicago White Sox,CWS,..\Assets\Chicago_White_Sox.png,
Chicago Cubs,CC,..\Assets\Chicago_Cubs.png,
Cincinnati Reds,CR,..\Assets\Cincinnati_Reds.png,
Cleveland Indians,CI,..\Assets\Cleveland_Indians.png,
Colorado Rockies,COR,..\Assets\Colorado_Rockies.png,
Detroit Tigers,DT,..\Assets\Detroit_tigers.png,
Houston Astros,HA,..\Assets\Houston_Astros.png,
Kansas City Royals,KCR,..\Assets\Kansas_City_Royals.png,
Los Angeles Angels,LAA,..\Assets\Los_Angeles_Angels.png,
Los Angeles Dodgers,LAD,..\Assets\Los_Angeles_Dodgers.png,
Miami Marlins,MM,..\Assets\Miami_Marlins.png,
Milwaukee Brewers,MB,..\Assets\Milwaukee_Brewers.png,
Minnesota Twins,MT,..\Assets\Minnesota_Twins.png,
New York Yankees,NYY,..\Assets\New_York_Yankees.png,
New York Mets,NYM,..\Assets\New_York_Mets.png,
Oakland Athletics,OA,..\Assets\Oakland_A's.png,
Philadelphia Phillies,PHP,..\Assets\Philadelphia_Phillies.png,
Pittsburgh Pirates,PP,..\Assets\Pittsburgh_Pirates.png,
San Diego Padres,SDP,..\Assets\San_Diego_Padres.png,
San Francisco Giants,SFG,..\Assets\San_Francisco_Giants.png,
Seattle Mariners,SM,..\Assets\Seattle_Mariners.png
St. Louis Cardinals,SLC,..\Assets\St._Louis_Cardinals.png,
Tampa Bay Rays,TBR,..\Assets\Tampa_Bay_Rays.png,
Texas Rangers,TR,..\Assets\Texas_Rangers.png,
Toronto Blue Jays,TBJ,..\Assets\Toronto_Blue_Jays.png,
Washington Nationals,WN,..\Assets\Washington_Nationals.png,
